,Symbol,Consensus,10DayAverageTradingVolume,13WeekPriceReturnDaily,26WeekPriceReturnDaily,3MonthADReturnStd,3MonthAverageTradingVolume,52WeekHigh,52WeekHighDate,52WeekLow,52WeekLowDate,52WeekPriceReturnDaily,5DayPriceReturnDaily,assetTurnoverAnnual,assetTurnoverTTM,beta,bookValuePerShareAnnual,bookValuePerShareQuarterly,bookValueShareGrowth5Y,capexCagr5Y,cashFlowPerShareAnnual,cashFlowPerShareQuarterly,cashFlowPerShareTTM,cashPerSharePerShareAnnual,cashPerSharePerShareQuarterly,currentDividendYieldTTM,currentEv/freeCashFlowAnnual,currentEv/freeCashFlowTTM,currentRatioAnnual,currentRatioQuarterly,dividendGrowthRate5Y,dividendPerShareAnnual,dividendPerShareTTM,dividendYieldIndicatedAnnual,ebitdPerShareAnnual,ebitdPerShareTTM,ebitdaCagr5Y,ebitdaInterimCagr5Y,enterpriseValue,epsAnnual,epsBasicExclExtraItemsAnnual,epsBasicExclExtraItemsTTM,epsExclExtraItemsAnnual,epsExclExtraItemsTTM,epsGrowth3Y,epsGrowth5Y,epsGrowthQuarterlyYoy,epsGrowthTTMYoy,epsInclExtraItemsAnnual,epsInclExtraItemsTTM,epsNormalizedAnnual,epsTTM,focfCagr5Y,grossMargin5Y,grossMarginAnnual,grossMarginTTM,inventoryTurnoverAnnual,inventoryTurnoverTTM,longTermDebt/equityAnnual,longTermDebt/equityQuarterly,marketCapitalization,monthToDatePriceReturnDaily,netIncomeEmployeeAnnual,netIncomeEmployeeTTM,netInterestCoverageAnnual,netInterestCoverageTTM,netMarginGrowth5Y,netProfitMargin5Y,netProfitMarginAnnual,netProfitMarginTTM,operatingMargin5Y,operatingMarginAnnual,operatingMarginTTM,payoutRatioAnnual,payoutRatioTTM,pbAnnual,pbQuarterly,pcfShareAnnual,pcfShareTTM,peAnnual,peBasicExclExtraTTM,peExclExtraAnnual,peExclExtraTTM,peInclExtraTTM,peNormalizedAnnual,peTTM,pfcfShareAnnual,pfcfShareTTM,pretaxMargin5Y,pretaxMarginAnnual,pretaxMarginTTM,priceRelativeToS&P50013Week,priceRelativeToS&P50026Week,priceRelativeToS&P5004Week,priceRelativeToS&P50052Week,priceRelativeToS&P500Ytd,psAnnual,psTTM,ptbvAnnual,ptbvQuarterly,quickRatioAnnual,quickRatioQuarterly,receivablesTurnoverAnnual,receivablesTurnoverTTM,revenueEmployeeAnnual,revenueEmployeeTTM,revenueGrowth3Y,revenueGrowth5Y,revenueGrowthQuarterlyYoy,revenueGrowthTTMYoy,revenuePerShareAnnual,revenuePerShareTTM,revenueShareGrowth5Y,roa5Y,roaRfy,roaTTM,roe5Y,roeRfy,roeTTM,roi5Y,roiAnnual,roiTTM,tangibleBookValuePerShareAnnual,tangibleBookValuePerShareQuarterly,tbvCagr5Y,totalDebt/totalEquityAnnual,totalDebt/totalEquityQuarterly,yearToDatePriceReturnDaily
0,MMM,Buy,1.39711,16.2981,16.012,23.89592,1.18338,156.28,2025-03-03,85.6141,2024-03-26,71.9144,0.4526,0.6164,0.5924,0.98673695,7.1218,7.1218,-16.46,-7.02,1.1826,1.1826,-9.91509,14.3252,14.3252,2.4164,140.2278,140.2278,1.4112,1.4112,-8.81,3.6299,3.6299,1.9058809,9.6977,9.7019,-7.16,-4.71,89465.336,7.5543,7.5543,7.551200000000001,7.5543,7.551200000000001,-9.29,-0.44,-21.78,,7.5543,7.551200000000001,7.5543,7.551200000000001,-34.69,42.07,41.33,38.24,3.3843,3.3843,2.8956,2.8956,82021.336,-2.7076,0.0679,0.0679,4.2399,-15.3111,3.85,9.23,16.98,15.71,9.81,19.62,18.15,47.5,47.5,18.297,18.297,45.0914,45.0914,19.6552,19.6552,9.42725,19.6552,19.6552,19.6552,19.6552,128.5601,30.7081,9.06,19.61,18.14,23.943,13.7835,8.9486,61.8738,21.1866,3.3376,3.0879,26.7086,26.7086,1.0439,1.0439,6.1871,6.6873,0.3996,0.4319,-11.42,-5.22,-25.0,-18.72,44.4877,48.6394,-4.13,6.63,10.47,9.31,16.81,108.62,96.67999999999999,9.06,24.64,21.4,4.8789,4.8789,-6.5,3.4073,3.3951,16.9107
1,AOS,Buy,0.45095,-7.1625,-14.0061,21.616457,0.41758,92.39,2024-07-18,64.59,2025-02-12,-22.3103,3.0774,1.1784,1.1956,1.2769909,13.0509,13.0509,4.92,10.89,3.283,3.283,2.48533,1.9131,1.9131,1.9612,20.3924,20.3924,1.5525,1.5525,7.65,1.3048,1.3048,2.0151134,5.3473,5.3472,6.98,3.83,9661.905,3.6279,3.6279,3.625,3.6279,3.625,6.31,10.33,-18.09,-1.66,3.6279,3.625,3.6279,3.625,3.87,37.48,38.14,38.14,4.5886,4.5886,0.0973,0.0973,9708.305,1.775,0.042,0.042,24.03191,24.02797,2.49,12.08,13.98,13.98,15.27,18.36,18.36,35.68,35.68,4.3135,4.3135,16.6867,16.6867,18.194,18.194,50.23661,18.194,18.194,18.194,18.194,20.4903,20.4903,15.27,18.36,18.36,0.4824,-16.2346,8.9146,-32.3509,3.4696,2.5427,2.5427,5.2,5.2,0.9594,0.9594,6.7137,6.7137,0.3006,0.3006,2.56,4.99,-7.66,-0.9,25.9586,26.1966,7.65,13.16,16.470000000000002,16.71,23.45,28.33,28.110000000000003,21.36,25.69,26.14,10.826,10.826,3.3,0.1026,0.1026,-0.8063
2,ABT,Buy,4.54478,10.6536,7.8473,23.027653,1.99508,141.01,2025-03-04,99.71,2024-07-18,9.3601,-3.055,0.5153,0.557,0.77456874,27.5244,27.5244,9.31,6.14,3.6675,3.6675,4.79757,4.6007,4.6007,1.7505,35.5284,35.5284,1.671,1.671,11.4,2.2136,2.2136,1.84895,5.1939,5.1939,6.6,6.35,225640.75,7.667,7.667,7.6783,7.667,7.6783,24.71,29.93,479.65,134.62,7.667,7.6783,7.667,7.6783,7.14,56.2,55.56,55.66,2.9213,2.9146,0.2649,0.2649,219131.75,-8.4849,0.1176,0.1176,38.3032,38.3032,22.55,18.3,31.95,31.95,17.26,15.84,15.84,28.62,28.62,4.116,4.116,25.6055,25.6055,16.3507,16.3507,26.17377,16.3507,16.3507,16.3507,16.3507,34.5035,34.5035,17.16,16.72,16.72,18.2985,5.6188,4.0569,-0.6805,15.9371,5.2236,5.2236,4.783,4.783,1.0519,1.0519,6.2194,6.2194,0.368,0.368,-0.88,5.63,7.16,4.59,23.9989,24.0581,6.02,9.84,16.46,17.79,19.06,28.12,32.37,13.45,21.69,23.93,23.686,23.686,23.87,0.2963,0.2963,11.6612
3,ABBV,Buy,1.4214,22.6415,7.2736,21.688585,2.5519,218.6,2025-03-10,153.58,2024-05-30,20.2215,0.8441,0.4168,0.3957,0.5266995,1.8836,1.8836,-10.06,12.03,10.1016,10.1016,8.65981,3.1469,3.1469,2.9119,24.688,24.688,0.6602,0.6602,7.72,6.2443,6.2443,3.058703,3.7569,3.7606,-8.3,,440235.66,2.4129,2.4129,2.4142,2.4129,2.4142,-28.11,-14.6,,-12.03,2.4129,2.4142,2.4129,2.4142,6.9,68.77,69.99,69.99,4.0831,4.0831,18.1405,18.1474,378615.66,2.3059,0.0778,0.0778,2.7038,2.7038,-20.36,13.51,7.59,7.59,25.52,16.22,16.22,257.71,212.79,94.4424,94.4424,20.1327,20.1327,88.503,88.503,20.92642,88.503,88.503,88.503,88.503,21.2324,21.2324,14.37,6.6,6.6,30.2864,5.0451,16.83,10.1809,24.6192,6.7209,6.7209,455.3493,455.3493,0.4251,0.4251,5.1041,5.1041,1.0243,1.0243,0.08,11.11,5.6,3.71,31.7733,31.8451,7.23,5.25,3.17,3.01,70.88,128.66,70.88,8.99,6.069999999999999,5.57,0.1439,0.1439,,20.1937,20.1937,20.3433
4,ACN,Buy,1.92213,-10.9306,-6.7961,26.24764,0.89372,398.35,2025-02-05,278.69,2024-05-31,-13.4891,-0.0802,1.1603,1.1998,1.3259084,45.2193,46.6796,14.82,-2.92,13.7703,14.4805,14.53903,8.0082,13.2907,1.6705,22.9615,21.8441,1.0992,1.4661,12.11,5.1674,5.3598,1.8175678,18.3257,19.0195,10.13,9.25,197801.916,11.4237,11.4237,11.9177,11.4237,11.9177,7.7,9.21,15.98,10.56,11.4237,11.9177,11.4237,11.9177,7.4,32.17,32.61,32.45,,,0.0028,0.17,200954.19,-7.01,0.0094,0.0098,592.2667,4599.0,0.23,11.26,11.19,11.41,14.67,14.79,15.04,44.62,44.34,7.5717,8.3507,22.0078,20.8136,27.6614,26.5453,31.01069,26.5453,26.5453,27.6614,26.5453,23.3274,22.1922,14.95,14.95,15.13,-3.2857,-9.0246,-8.4828,-23.5297,-3.6038,3.0965,3.0282,8.4379,9.2159,1.0992,1.4661,5.0129,4.7715,0.0838,0.0857,8.7,8.47,9.03,2.75,102.0481,104.5632,8.95,13.68,12.989999999999998,13.69,28.77,25.679999999999996,26.950000000000003,28.5,24.779999999999998,25.15,40.5772,42.297,13.35,0.0362,0.1766,-7.8797
5,ADBE,Buy,4.99177,-28.8328,-31.874,44.448856,3.83781,587.75,2024-09-12,374.5,2025-03-13,-20.5276,-10.7684,0.7114,0.724,1.5453264,32.0423,32.0423,7.98,-14.24,17.8851,17.8851,12.97778,17.9146,17.9146,0.0,21.807,18.6779,1.0676,1.0676,,0.0,0.0,,16.0467,19.0584,15.83,18.41,171686.9,12.3556,12.3556,15.1805,12.3556,15.1805,7.22,15.53,204.11,45.0,12.3556,15.1805,12.3556,15.1805,14.35,87.88,89.04,89.15,11.6813,48.3645,0.2927,0.2927,173671.9,-10.7602,0.1811,0.2198,49.4821,58.281,-0.44,30.45,25.85,30.63,33.99,31.35,36.29,,,16.1016,16.1016,21.5581,18.5468,31.236,25.7254,61.34392,25.7254,25.7254,31.236,25.7254,22.0592,18.8938,33.99,32.23,36.96,-21.1879,-34.1025,-5.89,-30.5682,-7.7125,8.0759,7.8809,17.0466,17.0466,0.9465,0.9465,10.0116,10.0116,0.7003,0.7176,10.86,14.0,10.27,10.54,47.7889,50.3128,16.03,18.7,18.39,18.72,35.68,39.42,37.72,27.41,28.18,27.99,30.2658,30.2658,8.62,0.399,0.399,-11.9884
6,AMD,Buy,32.12804,-20.4687,-27.5343,40.583282,37.22501,193.78,2024-03-15,94.73,2025-03-11,-45.8233,2.6987,0.3725,0.3755,2.0011778,35.492,35.492,71.16,23.99,1.4827,1.4827,2.5094,3.164,3.164,0.0,68.9462,68.9462,2.6163,2.6163,,0.0,0.0,,2.0434,2.1564,36.34,30.95,165815.52,1.0024,1.0024,1.0031999999999999,1.0024,1.0031999999999999,-26.96,26.91,-28.14,91.34,1.0024,1.0031999999999999,1.0024,1.0031999999999999,54.18,46.64,49.35,49.35,2.59,2.59,0.0299,0.0299,167881.52,3.6551,0.0586,0.0586,22.6196,14.9294,4.64,12.09,6.36,6.36,10.03,7.37,7.37,,,3.4515,3.4515,55.206,55.206,102.3044,102.3044,145.5673,102.3044,102.3044,102.3044,102.3044,69.8052,69.8052,10.06,7.71,7.71,-12.8238,-29.7628,-1.2788,-55.8639,-10.0299,6.5108,6.5108,5.1425,5.1425,1.5708,1.5708,4.458,4.458,0.9209,0.9209,16.2,30.81,24.16,13.69,15.7514,15.7803,21.25,11.76,2.37,2.39,18.33,2.85,2.8899999999999997,17.48,2.77,2.79,23.8212,23.8212,71.33,0.0299,0.0299,-14.3058
7,AES,Buy,4.2119,-4.9301,-21.4112,45.228848,5.77215,22.21,2024-05-31,9.89,2025-02-18,-13.9241,9.2139,0.259,0.2554,0.8799163,5.1246,5.1246,2.58,25.18,-6.3889,-6.3889,0.94833,2.2543,2.2543,5.2799,,,0.797,0.797,5.08,0.6996,0.6996,5.3946357,4.5316,4.5331,2.58,11.5,36641.923,2.3548,2.3548,2.3557,2.3548,2.3557,,38.97,,597.57,2.3548,2.3557,2.3548,2.3557,,22.2,18.85,18.85,15.2705,15.2705,6.8271,6.9789,9147.923,11.4754,0.1845,0.1845,1.8332,1.8332,35.71,1.62,13.67,13.67,8.55,16.02,16.02,28.77,28.77,2.5112,2.5112,3.2109,3.2109,5.4484,5.4484,,5.4484,5.4484,5.4484,5.4484,12.1648,34.6512,0.45,7.28,7.28,2.7148,-23.6397,32.7,-23.9647,4.6644,0.7451,0.7451,5.3924,5.3924,0.7095,0.7095,8.0091,8.0091,1.3492,1.3492,3.29,3.8,-0.2,-3.08,17.2202,17.2202,2.43,0.31,3.54,3.49,4.16,46.08,51.959999999999994,0.44,5.140000000000001,5.18,2.3865,2.3865,-7.65,7.9632,7.9632,0.3885
8,AFL,Hold,0.67058,3.0227,-0.9959,19.959959,0.85483,115.5,2024-10-04,79.31,2024-04-12,27.249,2.5504,0.161,0.1542,0.8580942,47.454,47.454,3.56,,4.9221,4.9221,,6.40871,9.37473,1.8457,22.1917,22.1917,0.0407,0.1096,13.11,1.9265,1.9265,2.1402214,11.7767,11.7167,7.14,14.42,60072.89,9.6334,9.6334,9.6077,9.6334,9.6077,14.67,16.81,647.22,24.02,9.6334,9.6077,9.6334,9.6077,-13.08,,,,,,0.2806,0.2806,58894.89,-1.9275,0.4288,0.4288,33.5685,33.5736,14.23,23.26,28.76,28.76,26.77,34.94,34.94,19.97,14.76,2.2018,2.2018,21.7565,21.7565,10.8203,10.8203,12.58917,10.8203,10.8203,10.8203,10.8203,21.7565,21.7565,25.69,33.9,33.9,10.6676,-3.2244,11.1962,17.2084,8.0655,3.1117,3.1119,2.40658,2.13809,0.0407,0.1096,,,1.491,1.4909,-5.07,-3.26,43.05,1.21,33.4982,34.0756,2.27,3.43,4.63,4.43,18.03,20.86,21.66,13.92,16.25,16.63,32.73434,38.62518,-3.92023,0.2838,0.2838,3.7896
9,A,Buy,0.58104,-12.8125,-10.8165,25.41104,0.52095,155.21,2024-05-17,117.17,2025-03-13,-16.5311,2.7117,0.5496,0.5729,1.2424575,20.6807,21.1302,6.12,19.36,4.8143,4.5998,5.11337,4.66,5.1432,0.7932,26.7245,27.9671,2.0892,2.1974,7.63,0.9492,0.9546,0.809862,6.1306,6.1384,8.24,7.31,36692.785,4.4296,4.4296,4.3599,4.4296,4.3599,3.97,5.63,-6.4,4.27,4.4296,4.3599,4.4296,4.3599,9.68,53.36,54.5,54.17,2.9576,2.9498,0.5671,0.5553,34796.785,-3.768,0.072,0.0703,68.5,254.5,-0.92,17.78,19.8,19.27,20.81,22.86,22.87,21.26,21.92,6.301,7.1722,19.8725,20.5049,26.9952,27.6384,30.22541,27.6384,27.6384,26.9952,27.6384,25.3436,26.5219,20.44,23.36,22.73,-5.1676,-13.045,-1.7751,-26.5717,-4.0909,5.3451,5.3263,6.9452,7.8409,1.5763,1.664,4.979,4.9813,0.3637,0.365,1.0,4.75,1.39,-3.0,22.3711,22.7631,6.62,10.62,10.879999999999999,11.04,20.78,21.85,20.95,13.74,13.88,13.88,18.7627,19.3281,8.0,0.5748,0.558,-8.3668
10,APD,Buy,0.38315,-6.5757,6.0277,24.545185,0.48796,341.06,2025-02-04,227.53,2024-04-16,19.2904,-0.9605,0.3058,0.3157,0.8950595,76.6125,75.0298,8.8,27.85,-14.1654,-16.3479,16.56713,13.4221,8.8234,2.3977,,,1.5224,1.1128,9.29,7.0432,7.0579,2.4220283,26.3003,26.2181,12.41,3.3,78088.47,17.1822,17.1822,17.2186,17.1822,17.2186,22.21,16.73,1.29,64.1,17.1822,17.2186,17.1822,17.2186,,30.62,32.49,32.55,11.5214,11.2104,0.7944,0.795,65463.47,-7.6957,0.1664,0.1668,9.077,709.0,9.91,21.86,31.64,31.88,24.5,36.91,36.92,40.88,40.91,3.8853,3.8641,17.9514,17.0843,17.1003,17.0642,26.66224,17.0642,17.0642,17.1003,17.0642,215.5531,118.2291,27.21,39.84,40.34,1.0692,3.7992,0.5115,9.2498,4.8896,5.4099,5.4396,3.9577,3.9318,1.2961,0.9171,6.1809,6.1008,0.5261,0.5232,5.44,6.29,-2.2,-3.12,54.3115,53.9915,6.21,8.09,9.67,10.059999999999999,17.36,22.470000000000002,24.07,10.36,12.24,12.78,75.2112,73.7375,9.48,0.8351,0.8669,0.6137
11,ABNB,Hold,5.83403,-10.2852,8.2001,46.373436,5.26583,170.09,2024-03-21,110.38,2024-08-07,-22.4602,-1.5725,0.5297,0.4725,1.1275445,13.5024,13.5024,,,7.252,7.252,8.25878,17.0321,17.0321,,16.3061,16.3061,1.6908,1.6908,,,,,3.9969,3.9954,,,73671.016,4.1054,4.1054,4.1145,4.1054,4.1145,,,,-43.15,4.1054,4.1145,4.1054,4.1145,115.5,65.36,71.54,71.54,,,0.2372,0.2372,78540.016,-10.3046,0.3627,0.3627,-37.2295,-3.6471,,-9.37,23.85,23.85,-9.3,23.0,23.0,,,9.76,9.76,17.3838,17.3838,29.6601,29.6601,45.57348,29.6601,29.6601,29.6601,29.6601,17.3838,17.3838,-13.74,30.0,30.0,-2.6403,5.9716,-12.6854,-32.5008,-0.9368,7.0744,7.0744,9.7914,10.7533,1.6477,1.6477,1.8817,1.8817,1.5208,1.5208,22.82,18.23,11.81,11.95,17.2124,17.456,16.38,0.27,12.629999999999999,11.27,-8.23,31.480000000000004,32.29,-0.83,25.44,25.979999999999997,13.4591,12.2552,,0.2372,0.2372,-5.2127
12,AKAM,Buy,3.1182,-17.9564,-13.3657,51.942837,2.45615,110.1,2024-03-28,75.5,2025-02-24,-23.4872,3.0128,0.3849,0.3934,0.8174132,32.5169,32.5169,7.57,7.8,4.673,4.673,7.28931,10.6421,10.6421,,21.9822,21.9822,1.2328,1.2328,,,,,4.7846,4.7846,2.13,4.11,15411.008,3.2713,3.2713,3.2632000000000003,3.2713,3.2632000000000003,-5.93,2.41,-10.96,-7.37,3.2713,3.2632000000000003,3.2713,3.2632000000000003,7.16,61.9,59.39,59.39,,,0.4913,0.4913,12382.904,1.7105,0.0472,0.0472,14.2008,85.359,-5.2,15.55,12.65,12.65,18.4,13.36,13.36,,,2.9455,2.9455,8.1511,8.1511,24.5246,24.5246,34.82543,24.5246,24.5246,24.5246,24.5246,17.6629,17.6629,18.06,14.71,14.71,-10.3115,-15.5942,-9.6836,-33.5278,-9.9322,3.1026,3.1026,3.4618,3.4618,1.1858,1.1114,5.4975,5.4975,0.373,0.373,4.86,6.64,2.5,4.7,25.8586,26.0709,8.02,6.38,4.87,4.9799999999999995,12.35,10.35,10.6,7.93,5.99,6.08,27.6672,27.6672,3.6,0.7268,0.7268,-14.2081
13,ALB,Hold,0.79584,-24.4029,-0.1526,43.79473,0.6655,137.26,2024-05-15,67.23,2025-03-04,-35.7295,7.8149,0.3238,0.3009,1.6777146,84.7356,84.7356,17.96,14.63,-8.3678,-8.3678,17.53923,10.1415,10.1415,3.3795,18.99314,,1.9539,1.9539,13.04,2.6501,2.6501,2.0636942,-7.9893,-7.9893,,13.92,11534.64,-10.0365,-10.0365,-10.035100000000002,-10.0365,-10.035100000000002,,,,,-10.0365,-10.035100000000002,-10.0365,-10.035100000000002,,23.57,1.19,1.19,2.9006,2.9006,0.3016,0.3016,9210.705,1.9083,-0.1421,-0.1421,-6.4637,-6.4637,,9.38,-21.93,-21.93,8.55,-33.15,-33.16,11.9,175.19,1.0157,1.0157,13.1194,13.1194,,,5.6435,,,,,14.2536,10.2936,3.79,-32.8,-32.8,-16.758,-2.3811,2.2902,-45.7701,-4.5299,1.7128,1.7128,1.0398,1.0398,1.1506,1.1506,5.5003,5.5003,0.6479,0.6479,17.35,8.42,-47.72,-44.08,45.7599,45.7471,6.27,4.73,-7.1,-6.6000000000000005,9.92,-11.84,-10.979999999999999,6.64,-8.75,-8.260000000000002,82.7727,82.7727,22.16,0.353,0.353,-8.8058
14,ARE,Buy,0.33886,-4.8361,-17.844,25.99899,0.49538,130.14,2024-07-18,93.25,2025-02-12,-20.4929,-0.132,0.0862,0.0853,1.2373704,103.8832,103.8832,7.23,-5.18,-6.7757,-6.7757,8.8005,3.2064,3.2064,5.2163,,,0.315,0.315,6.07,5.2224,5.2224,5.3054667,11.6472,11.6472,16.91,12.6,28918.32,1.8768,1.8768,1.8781,1.8768,1.8781,-21.45,-10.28,,209.15,1.8768,1.8781,1.8768,1.8781,,71.19,71.88,71.88,,,0.6845,0.6845,17226.092,-3.7845,0.5851,0.5851,2.7549,2.7549,-15.88,20.19,9.99,9.99,18.99,20.8,20.8,278.23,174.29,0.953,0.953,11.4495,11.4495,53.34,53.34,33.12756,53.34,53.34,53.34,53.34,,,25.04,15.79,15.79,2.8088,-20.0725,11.7008,-30.5335,5.137,5.3272,5.3272,0.9695,0.9695,0.315,0.315,442.354,442.354,5.858,5.858,15.22,16.12,6.69,9.01,18.7923,18.7713,6.66,1.58,0.86,0.8500000000000001,3.05,1.81,1.77,1.9,1.0699999999999998,1.06,102.1112,102.1112,15.42,0.6845,0.6845,0.8611
15,ALGN,Buy,1.44135,-31.3085,-27.5677,35.787674,0.88111,334.35,2024-03-21,158.13,2025-03-13,-47.6603,-0.0243,0.6435,0.6425,1.6814026,52.1603,52.1603,24.88,-5.04,8.4314,8.4314,6.55342,14.1354,14.1354,,17.7468,17.7468,1.223,1.223,,,,,9.7846,9.7893,5.46,1.98,11050.047,5.6187,5.6187,5.6222,5.6187,5.6222,-16.6,0.33,-14.95,-3.31,5.6187,5.6222,5.6187,5.6222,0.82,71.24,70.0,70.0,4.3537,4.3537,0.0,0.0048,12093.934,-12.0302,0.0201,0.0201,15.4051,38.9062,-10.55,24.62,10.54,10.54,18.1,15.19,15.19,,,4.041,4.041,16.3823,16.3823,28.702,28.702,47.60211,28.702,28.702,28.702,28.702,19.4233,19.4233,17.76,15.23,15.23,-23.6636,-29.7962,-9.9955,-57.7009,-16.8166,3.0242,3.0242,4.1526,4.1526,1.0575,1.0575,4.2115,4.2115,0.1909,0.1909,0.39,10.69,4.02,3.54,53.3251,53.66,12.16,13.99,6.78,6.77,21.89,10.94,11.01,21.89,10.94,11.01,50.7589,50.7589,22.95,0.0,0.0,-21.0925
16,ALLE,Buy,0.33001,-8.8721,-6.0076,25.038475,0.34392,156.097,2024-10-18,113.27,2024-07-05,-1.8483,3.2596,0.8405,0.8144,1.0598669,17.3985,17.3985,16.32,7.02,6.7579,6.7579,7.58742,5.8408,5.8408,1.5195,21.4213,21.4213,2.0409,2.0409,12.34,1.9222,1.9222,1.6016331,10.2785,10.2785,7.95,10.35,12486.503,6.8208,6.8208,6.822,6.8208,6.822,8.52,9.87,23.32,11.46,6.8208,6.822,6.8208,6.822,6.64,42.7,44.23,44.23,4.8838,4.8838,1.3178,1.3178,10990.803,-0.5672,0.0415,0.0415,9.46,9.46,2.38,14.61,15.84,15.84,18.22,20.7,20.7,27.95,27.95,7.5697,7.5697,16.2827,16.2827,18.3946,18.3946,20.25117,18.3946,18.3946,18.3946,18.3946,18.8554,18.8554,16.57,18.52,18.52,-1.2272,-8.2361,9.5752,-11.8889,2.2098,2.9136,2.9136,12.1927,12.1927,1.4339,1.4339,9.0711,9.0711,0.262,0.262,9.57,5.74,5.37,3.33,43.0616,43.3586,7.31,12.68,13.309999999999999,12.9,46.19,39.81,40.87,16.84,17.07,16.29,10.8017,10.8017,30.46,1.3324,1.3324,-2.0661
17,LNT,Buy,2.36683,4.8667,6.7397,18.908997,1.75953,66.54,2025-03-04,47.23,2024-04-16,30.9155,1.8816,0.1689,0.1732,0.59413815,27.2858,27.2858,4.34,5.93,-3.4477,-3.4477,5.40208,0.3156,0.3156,3.0313,,,0.4361,0.4361,6.44,1.9189,1.9189,3.1953409,6.4681,6.4681,4.54,7.24,26555.659,2.6869,2.6869,2.6866,2.6869,2.6866,-0.02,2.51,23.42,-3.26,2.6869,2.6866,2.6869,2.6866,,,,39.3171,0.7022,0.7022,1.2389,1.2389,16230.659,-1.8286,0.2302,0.2302,2.8371,2.8403,2.21,18.19,17.98,17.98,23.03,23.09,23.08,71.3,71.3,2.1667,2.1667,13.908,13.908,23.5227,23.5227,18.2175,23.5227,23.5227,23.5227,23.5227,307.9821,113.6601,16.96,15.01,14.98,12.5116,4.5112,11.2434,20.8749,11.3946,4.23,4.2289,1.3136,1.3398,0.3274,0.3274,35.2018,8.51,1.2799,1.2802,2.75,1.75,1.41,-1.21,14.9416,14.928,0.3,3.38,3.04,3.11,10.6,9.85,10.01,4.47,3.92,4.05,13.9775,14.4324,7.44795,1.5127,1.4857,7.1187
18,ALL,Buy,0.63492,6.2287,11.0726,26.841152,0.63368,211.02,2025-03-17,156.66,2024-06-17,26.5968,3.5763,0.5743,0.5842,0.31839037,80.9132,80.9132,-0.14,-13.47,32.9094,32.9094,-5.27656,2.79848,3.28244,1.9573,7.1676,7.1676,,,11.11,4.0949,4.0949,1.9479887,24.0515,24.065,1.78,9.07,62509.074,17.4272,17.4272,17.4172,17.4272,17.4172,48.26,3.73,26.21,,17.4272,17.4172,17.4272,17.4172,13.18,,,,,,0.3771,0.3771,55128.074,3.1082,0.0849,0.0849,15.43881,14.13202,-9.01,4.17,7.28,7.28,6.75,8.99,8.99,23.12,23.12,2.3809,2.3809,6.1727,6.1727,11.8123,11.8123,,11.8123,11.8123,11.8123,11.8123,6.3213,6.3213,6.75,8.99,8.99,13.8736,8.8441,15.6404,16.5562,10.7856,0.86,0.86,2.55912,3.2271,,,,,1.1656,1.1656,8.21,9.06,11.29,12.28,239.3801,238.3123,13.99,1.74,4.18,4.25,7.6,21.77,23.47,5.88,15.809999999999999,16.71,53.17871,42.33206,-7.24432,0.3771,0.3771,6.5097
19,GOOGL,Buy,33.52177,-17.7738,8.0788,33.105087,29.70598,207.05,2025-02-04,140.03,2024-03-15,13.8051,-3.8537,0.7774,0.8223,1.0112839,26.6222,26.6222,12.72,17.41,5.9589,5.9589,6.35252,7.8337,7.8337,,26.828,26.828,1.8369,1.8369,,0.5969,,0.497915,9.6776,10.1744,23.41,23.8,1952115.5,7.5203,7.5203,7.9056,7.5203,7.9056,10.26,25.06,22.36,36.18,7.5203,7.9056,7.5203,7.9056,18.63,56.21,58.2,58.24,65.7307,42.6553,0.0335,0.0335,1963464.5,-5.6436,0.5461,0.5461,84.046,16.1988,6.15,25.08,28.6,28.6,27.83,32.11,32.11,7.35,,7.1475,7.1475,15.6702,15.6702,19.6115,19.6115,29.99239,19.6115,19.6115,19.6115,19.6115,26.984,26.984,29.78,34.23,34.23,-10.1289,5.8503,-4.8087,3.7645,-10.8482,5.6096,5.6096,4.5068,6.2217,1.8369,1.8369,6.9791,6.9791,1.9093,1.9093,10.75,16.68,11.77,13.87,26.2914,26.4944,17.81,18.15,22.24,23.52,25.71,30.8,32.48,24.38,29.56,31.11,19.7727,21.6385,11.14,0.0417,0.0373,-15.1241
20,GOOG,Buy,33.52177,-17.7738,8.0788,33.105087,29.70598,207.05,2025-02-04,140.03,2024-03-15,13.8051,-3.8537,0.7774,0.8223,1.0112839,26.6222,26.6222,12.72,17.41,5.9589,5.9589,6.35252,7.8337,7.8337,,26.828,26.828,1.8369,1.8369,,0.5969,,0.497915,9.6776,10.1744,23.41,23.8,1952115.5,7.5203,7.5203,7.9056,7.5203,7.9056,10.26,25.06,22.36,36.18,7.5203,7.9056,7.5203,7.9056,18.63,56.21,58.2,58.24,65.7307,42.6553,0.0335,0.0335,1963464.5,-5.6436,0.5461,0.5461,84.046,16.1988,6.15,25.08,28.6,28.6,27.83,32.11,32.11,7.35,,7.1475,7.1475,15.6702,15.6702,19.6115,19.6115,29.99239,19.6115,19.6115,19.6115,19.6115,26.984,26.984,29.78,34.23,34.23,-10.1289,5.8503,-4.8087,3.7645,-10.8482,5.6096,5.6096,4.5068,6.2217,1.8369,1.8369,6.9791,6.9791,1.9093,1.9093,10.75,16.68,11.77,13.87,26.2914,26.4944,17.81,18.15,22.24,23.52,25.71,30.8,32.48,24.38,29.56,31.11,19.7727,21.6385,11.14,0.0417,0.0373,-15.1241
